id,pair_id,model,side,price_ticks,qty,placed_msg_idx,resolved_msg_idx,outcome,bid_at_place,ask_at_place,bid_at_fill,ask_at_fill,ahead_qty_at_place
3,2,naive,B,32264,100,400,410,FILLED,32264,32270,32263,32270,1
5,3,naive,B,32267,100,600,967,FILLED,32267,32277,32267,32269,288
7,4,naive,B,32267,100,800,967,FILLED,32267,32271,32267,32269,56
4,2,queue,B,32264,100,400,2242,FILLED,32264,32270,32267,32269,1
1,1,naive,B,32266,100,200,2353,FILLED,32266,32277,32267,32269,4
2,1,queue,B,32266,100,200,2353,FILLED,32266,32277,32267,32269,4
9,5,naive,B,32267,100,1000,3899,FILLED,32267,32269,32267,32269,27
11,6,naive,B,32267,100,1200,3899,FILLED,32267,32269,32267,32269,27
13,7,naive,B,32267,100,1400,3899,FILLED,32267,32269,32267,32269,27
15,8,naive,B,32267,100,1600,3899,FILLED,32267,32269,32267,32269,27
17,9,naive,B,32267,100,1800,3899,FILLED,32267,32269,32267,32269,27
19,10,naive,B,32267,100,2000,3899,FILLED,32267,32269,32267,32269,27
21,11,naive,B,32267,100,2200,3899,FILLED,32267,32269,32267,32269,27
23,12,naive,B,32267,100,2400,3899,FILLED,32267,32269,32267,32269,73
25,13,naive,B,32267,100,2600,3899,FILLED,32267,32269,32267,32269,360
27,14,naive,B,32267,100,2800,3899,FILLED,32267,32269,32267,32269,417
29,15,naive,B,32267,100,3000,3899,FILLED,32267,32269,32267,32269,117
31,16,naive,B,32267,100,3200,3899,FILLED,32267,32269,32267,32269,117
33,17,naive,B,32267,100,3400,3899,FILLED,32267,32269,32267,32269,117
35,18,naive,B,32267,100,3600,3899,FILLED,32267,32269,32267,32269,230
37,19,naive,B,32267,100,3800,3899,FILLED,32267,32269,32267,32269,422
39,20,naive,B,32267,100,4000,4710,FILLED,32267,32269,32267,32268,401
41,21,naive,B,32267,100,4200,4710,FILLED,32267,32269,32267,32268,401
43,22,naive,B,32267,100,4400,4710,FILLED,32267,32268,32267,32268,401
45,23,naive,B,32267,100,4600,4710,FILLED,32267,32268,32267,32268,401
47,24,naive,B,32267,100,4800,10272,FILLED,32267,32268,32267,32264,359
49,25,naive,B,32267,100,5000,10272,FILLED,32267,32268,32267,32264,359
51,26,naive,B,32267,100,5200,10272,FILLED,32267,32268,32267,32264,358
53,27,naive,B,32267,100,5400,10272,FILLED,32267,32268,32267,32264,358
55,28,naive,B,32267,100,5600,10272,FILLED,32267,32267,32267,32264,355
57,29,naive,B,32267,100,5800,10272,FILLED,32267,32267,32267,32264,355
59,30,naive,B,32267,100,6000,10272,FILLED,32267,32267,32267,32264,355
61,31,naive,B,32267,100,6200,10272,FILLED,32267,32267,32267,32264,349
63,32,naive,B,32267,100,6400,10272,FILLED,32267,32267,32267,32264,349
65,33,naive,B,32267,100,6600,10272,FILLED,32267,32267,32267,32264,349
67,34,naive,B,32267,100,6800,10272,FILLED,32267,32267,32267,32264,349
69,35,naive,B,32267,100,7000,10272,FILLED,32267,32265,32267,32264,349
71,36,naive,B,32267,100,7200,10272,FILLED,32267,32264,32267,32264,349
73,37,naive,B,32267,100,7400,10272,FILLED,32267,32264,32267,32264,349
75,38,naive,B,32267,100,7600,10272,FILLED,32267,32264,32267,32264,349
77,39,naive,B,32267,100,7800,10272,FILLED,32267,32264,32267,32264,349
79,40,naive,B,32267,100,8000,10272,FILLED,32267,32264,32267,32264,349
81,41,naive,B,32267,100,8200,10272,FILLED,32267,32264,32267,32264,349
83,42,naive,B,32267,100,8400,10272,FILLED,32267,32264,32267,32264,349
85,43,naive,B,32267,100,8600,10272,FILLED,32267,32264,32267,32264,349
87,44,naive,B,32267,100,8800,10272,FILLED,32267,32264,32267,32264,349
89,45,naive,B,32267,100,9000,10272,FILLED,32267,32264,32267,32264,349
91,46,naive,B,32267,100,9200,10272,FILLED,32267,32264,32267,32264,349
93,47,naive,B,32267,100,9400,10272,FILLED,32267,32264,32267,32264,349
95,48,naive,B,32267,100,9600,10272,FILLED,32267,32264,32267,32264,349
97,49,naive,B,32267,100,9800,10272,FILLED,32267,32264,32267,32264,349
99,50,naive,B,32267,100,10000,10272,FILLED,32267,32264,32267,32264,349
101,51,naive,B,32267,100,10200,10272,FILLED,32267,32264,32267,32264,349
6,3,queue,B,32267,100,600,20600,CANCELED,32267,32277,32267,32264,288
8,4,queue,B,32267,100,800,20800,CANCELED,32267,32271,32267,32264,56
10,5,queue,B,32267,100,1000,21000,CANCELED,32267,32269,32267,32264,27
12,6,queue,B,32267,100,1200,21200,CANCELED,32267,32269,32267,32264,27
14,7,queue,B,32267,100,1400,21400,CANCELED,32267,32269,32267,32264,27
16,8,queue,B,32267,100,1600,21600,CANCELED,32267,32269,32271,32264,27
18,9,queue,B,32267,100,1800,21800,CANCELED,32267,32269,32271,32264,27
20,10,queue,B,32267,100,2000,22000,CANCELED,32267,32269,32271,32264,27
22,11,queue,B,32267,100,2200,22200,CANCELED,32267,32269,32271,32264,27
24,12,queue,B,32267,100,2400,22400,CANCELED,32267,32269,32271,32264,73
26,13,queue,B,32267,100,2600,22600,CANCELED,32267,32269,32271,32264,360
28,14,queue,B,32267,100,2800,22800,CANCELED,32267,32269,32274,32264,417
30,15,queue,B,32267,100,3000,23000,CANCELED,32267,32269,32274,32264,117
32,16,queue,B,32267,100,3200,23200,CANCELED,32267,32269,32274,32264,117
34,17,queue,B,32267,100,3400,23400,CANCELED,32267,32269,32274,32264,117
36,18,queue,B,32267,100,3600,23600,CANCELED,32267,32269,32274,32264,230
38,19,queue,B,32267,100,3800,23800,CANCELED,32267,32269,32274,32264,422
40,20,queue,B,32267,100,4000,24000,CANCELED,32267,32269,32274,32264,401
42,21,queue,B,32267,100,4200,24200,CANCELED,32267,32269,32274,32264,401
44,22,queue,B,32267,100,4400,24400,CANCELED,32267,32268,32274,32264,401
46,23,queue,B,32267,100,4600,24600,CANCELED,32267,32268,32274,32264,401
48,24,queue,B,32267,100,4800,24800,CANCELED,32267,32268,32274,32264,359
50,25,queue,B,32267,100,5000,25000,CANCELED,32267,32268,32274,32264,359
52,26,queue,B,32267,100,5200,25200,CANCELED,32267,32268,32274,32264,358
54,27,queue,B,32267,100,5400,25400,CANCELED,32267,32268,32274,32264,358
56,28,queue,B,32267,100,5600,25600,CANCELED,32267,32267,32274,32264,355
58,29,queue,B,32267,100,5800,25800,CANCELED,32267,32267,32274,32264,355
103,52,naive,B,32267,100,10400,25875,FILLED,32267,32264,32274,32264,347
105,53,naive,B,32267,100,10600,25875,FILLED,32267,32264,32274,32264,347
107,54,naive,B,32267,100,10800,25875,FILLED,32267,32264,32274,32264,347
109,55,naive,B,32267,100,11000,25875,FILLED,32267,32264,32274,32264,347
111,56,naive,B,32267,100,11200,25875,FILLED,32267,32264,32274,32264,346
113,57,naive,B,32267,100,11400,25875,FILLED,32267,32264,32274,32264,346
115,58,naive,B,32267,100,11600,25875,FILLED,32267,32264,32274,32264,346
117,59,naive,B,32267,100,11800,25875,FILLED,32267,32264,32274,32264,346
119,60,naive,B,32267,100,12000,25875,FILLED,32267,32264,32274,32264,346
121,61,naive,B,32267,100,12200,25875,FILLED,32267,32264,32274,32264,346
123,62,naive,B,32267,100,12400,25875,FILLED,32267,32264,32274,32264,346
125,63,naive,B,32267,100,12600,25875,FILLED,32267,32264,32274,32264,346
127,64,naive,B,32267,100,12800,25875,FILLED,32267,32264,32274,32264,254
129,65,naive,B,32267,100,13000,25875,FILLED,32267,32264,32274,32264,254
131,66,naive,B,32267,100,13200,25875,FILLED,32267,32264,32274,32264,254
133,67,naive,B,32267,100,13400,25875,FILLED,32267,32264,32274,32264,254
135,68,naive,B,32267,100,13600,25875,FILLED,32267,32264,32274,32264,254
137,69,naive,B,32267,100,13800,25875,FILLED,32267,32264,32274,32264,254
139,70,naive,B,32267,100,14000,25875,FILLED,32267,32264,32274,32264,254
141,71,naive,B,32267,100,14200,25875,FILLED,32267,32264,32274,32264,254
